,certif_AFNOR,certif_DHV,certif_EN,certif_MISC,certification,flat_AR,flat_area,flat_span,manufacturer,name,proj_AR,proj_area,proj_span,ptv_maxi,ptv_mini,size,source,weight,year
0,,,A,,A,4.8,22.1,10.3,Advance,Alpha 6,3.6,18.9,8.2,85.0,70.0,22,GliderBase,4.3,2015
1,,,A,,A,4.8,24.0,10.8,Advance,Alpha 6,3.6,20.6,8.6,95.0,80.0,24,GliderBase,4.55,2015
2,,,A,,A,4.8,26.1,11.2,Advance,Alpha 6,3.6,22.3,8.9,110.0,95.0,26,GliderBase,4.75,2015
3,,,A,,A,4.8,28.5,11.7,Advance,Alpha 6,3.6,24.4,9.3,125.0,110.0,28,GliderBase,5.25,2015
4,,,A,,A,4.8,31.9,12.4,Advance,Alpha 6,3.6,27.3,9.9,145.0,130.0,31,GliderBase,5.75,2015
5,,,,DGAC,DGAC,,,,Advance,Alpha 6 Motor,,,,130.0,60.0,24,GliderBase,,
6,,,,DGAC,DGAC,,,,Advance,Alpha 6 Motor,,,,140.0,70.0,26,GliderBase,,
7,,,,DGAC,DGAC,,,,Advance,Alpha 6 Motor,,,,150.0,85.0,28,GliderBase,,
8,,,,DGAC,DGAC,,,,Advance,Alpha 6 Motor,,,,150.0,100.0,31,GliderBase,,
9,,,B,,B,5.45,38.1,,Advance,Bibeta 6,4.0,,,180.0,100.0,38,GliderBase,6.7,2016
10,,,B,,B,5.45,40.8,,Advance,Bibeta 6,4.0,,,225.0,120.0,41,GliderBase,6.95,2016
11,,,B,,B,5.15,22.5,10.75,Advance,Epsilon 8,3.6,18.9,8.25,85.0,75.0,23,GliderBase,4.15,2016
12,,,B,,B,5.15,25.0,11.35,Advance,Epsilon 8,3.6,21.0,8.7,100.0,90.0,25,GliderBase,4.45,2016
13,,,B,,B,5.15,27.0,11.8,Advance,Epsilon 8,3.6,22.7,9.05,120.0,105.0,27,GliderBase,4.95,2016
14,,,B,,B,5.15,29.0,12.25,Advance,Epsilon 8,3.6,24.4,9.35,140.0,125.0,29,GliderBase,5.15,2016
15,,,,DGAC,DGAC,,,,Advance,Epsilon 8 Motor,,,,140.0,70.0,25,GliderBase,,
16,,,,DGAC,DGAC,,,,Advance,Epsilon 8 Motor,,,,150.0,80.0,27,GliderBase,,
17,,,,DGAC,DGAC,,,,Advance,Epsilon 8 Motor,,,,150.0,95.0,29,GliderBase,,
18,,,B,,B,5.2,22.1,10.73,Advance,Epsilon 9,3.68,18.5,8.26,77.0,60.0,22,GliderBase,4.15,2019
19,,,B,,B,5.2,23.9,11.15,Advance,Epsilon 9,3.68,20.0,8.59,88.0,70.0,24,GliderBase,4.4,2019
20,,,B,,B,5.2,25.9,11.61,Advance,Epsilon 9,3.68,21.7,8.94,100.0,80.0,26,GliderBase,4.65,2019
21,,,B,,B,5.2,27.8,12.03,Advance,Epsilon 9,3.68,23.3,9.26,114.0,92.0,28,GliderBase,4.95,2019
22,,,B,,B,5.2,29.8,12.45,Advance,Epsilon 9,3.68,25.0,9.59,128.0,105.0,30,GliderBase,5.25,2019
23,,,B,,B,5.6,21.8,11.1,Advance,Iota 2,4.23,18.8,8.9,77.0,60.0,21,GliderBase,4.3,2018
24,,,B,,B,5.6,23.7,11.5,Advance,Iota 2,4.23,20.4,9.3,88.0,70.0,23,GliderBase,4.6,2018
25,,,B,,B,5.6,25.7,12.0,Advance,Iota 2,4.23,22.2,9.7,100.0,80.0,25,GliderBase,4.85,2018
26,,,B,,B,5.6,27.7,12.5,Advance,Iota 2,4.23,23.9,10.0,114.0,92.0,27,GliderBase,5.15,2018
27,,,B,,B,5.6,29.7,12.9,Advance,Iota 2,4.23,25.6,10.4,128.0,105.0,29,GliderBase,5.4,2018
28,,,,,,7.05,22.0,12.45,Advance,Omega Xalps 2,5.25,18.9,9.94,85.0,70.0,22,GliderBase,3.3,2017
29,,,,,,7.05,23.0,12.73,Advance,Omega Xalps 2,5.25,19.7,10.16,97.0,80.0,23,GliderBase,3.5,2017
30,,,,,,7.05,24.55,13.15,Advance,Omega Xalps 2,5.25,21.0,10.5,110.0,90.0,24,GliderBase,3.7,2017
31,,,,Load,Load,5.7,17.0,9.8,Advance,Omikron,4.3,14.6,7.9,100.0,70.0,17,GliderBase,4.7,2016
32,,,,Load,Load,5.7,18.0,10.1,Advance,Omikron,4.3,15.5,8.2,110.0,75.0,18,GliderBase,4.8,2016
33,,,,,,4.5,16.0,8.5,Advance,Pi 2,3.5,14.0,7.0,90.0,50.0,16,GliderBase,2.05,2016
34,,,C,,C,4.5,19.0,9.2,Advance,Pi 2,3.5,16.7,7.6,95.0,75.0,19,GliderBase,2.35,2016
35,,,B,,B,4.5,23.0,10.2,Advance,Pi 2,3.5,20.1,8.4,110.0,95.0,23,GliderBase,2.75,2016
36,,,B,,B,4.5,27.0,11.0,Advance,Pi 2,3.5,23.6,9.1,120.0,105.0,27,GliderBase,3.1,2016
37,,,B,,B,5.4,37.2,14.2,Advance,Pi Bi,4.1,31.8,11.4,180.0,100.0,37,GliderBase,4.8,2017
38,,,D,,D,6.16,21.0,11.4,Advance,Sigma 10,4.6,18.0,9.1,77.0,60.0,21,GliderBase,4.45,2017
39,,,C,,C,6.16,22.9,11.9,Advance,Sigma 10,4.6,19.6,9.5,88.0,70.0,23,GliderBase,4.75,2017
40,,,C,,C,6.16,24.5,12.3,Advance,Sigma 10,4.6,21.0,9.8,100.0,80.0,25,GliderBase,4.85,2017
41,,,C,,C,6.16,26.4,12.8,Advance,Sigma 10,4.6,22.6,10.2,114.0,92.0,27,GliderBase,5.15,2017
42,,,C,,C,6.16,28.4,13.25,Advance,Sigma 10,4.6,24.3,10.6,128.0,105.0,29,GliderBase,5.45,2017
43,,,B,,B,5.6,21.8,11.1,Advance,XI,4.23,,8.9,77.0,60.0,21,GliderBase,3.4,2018
44,,,B,,B,5.6,23.7,11.5,Advance,XI,4.23,,9.3,88.0,70.0,23,GliderBase,3.6,2018
45,,,B,,B,5.6,25.7,12.0,Advance,XI,4.23,,9.7,100.0,80.0,25,GliderBase,3.8,2018
46,,,B,,B,5.6,27.7,12.5,Advance,XI,4.23,,10.0,114.0,92.0,27,GliderBase,4.05,2018
47,,,B,,B,5.6,29.7,12.9,Advance,XI,4.23,,10.4,128.0,105.0,29,GliderBase,4.3,2018
48,,,B,,B,5.6,23.5,11.45,Aircross,U Cruise,4.19,20.2,9.2,85.0,60.0,S,GliderBase,5.4,2016
49,,,B,,B,5.6,26.67,12.2,Aircross,U Cruise,4.19,22.86,9.8,100.0,75.0,M,GliderBase,5.8,2016
50,,,B,,B,5.6,28.0,12.5,Aircross,U Cruise,4.19,24.05,10.0,115.0,90.0,L,GliderBase,6.2,2016
51,,,,,pending,5.6,30.5,13.0,Aircross,U Cruise,4.19,26.2,10.5,130.0,105.0,XL,GliderBase,6.6,2016
52,,,B,,B,5.2,41.0,14.64,Aircross,U Double,4.08,35.73,12.1,220.0,130.0,Double U,GliderBase,8.7,2015
53,,,,,,5.23,22.62,10.88,Aircross,U Fly 3,3.97,19.65,8.84,80.0,65.0,XS,GliderBase,4.2,2017
54,,,B,,B,5.23,24.35,11.29,Aircross,U Fly 3,3.97,21.16,9.17,90.0,75.0,S,GliderBase,4.5,2017
55,,,B,,B,5.23,26.15,11.7,Aircross,U Fly 3,3.97,22.72,9.5,100.0,85.0,M,GliderBase,4.9,2017
56,,,B,,B,5.23,27.9,12.09,Aircross,U Fly 3,3.97,24.24,9.81,110.0,95.0,L,GliderBase,5.2,2017
57,,,B,,B,5.23,30.22,12.58,Aircross,U Fly 3,3.97,26.26,10.21,125.0,105.0,XL,GliderBase,5.6,2017
58,,,,,,5.23,32.8,13.1,Aircross,U Fly 3,3.97,28.5,10.64,136.0,120.0,XXL,GliderBase,5.9,2017
59,,,A,,A,4.85,18.06,10.03,AirDesign,Eazy 2,3.67,15.55,7.55,72.0,65.0,XXS,GliderBase,3.8,2017
60,,,A,,A,4.85,20.57,10.54,AirDesign,Eazy 2,3.67,17.7,8.06,,,XS,GliderBase,4.3,2017
61,,,A,,A,4.85,22.99,11.18,AirDesign,Eazy 2,3.67,19.79,8.52,,,S,GliderBase,4.8,2017
62,,,A,,A,4.85,25.03,11.73,AirDesign,Eazy 2,3.67,21.54,8.89,,,M,GliderBase,5.2,2017
63,,,A,,A,4.85,27.82,12.2,AirDesign,Eazy 2,3.67,23.94,9.37,,,L,GliderBase,5.8,2017
64,,,A,,A,4.85,18.06,10.03,AirDesign,Eazy 2 Superlight,3.67,15.55,7.55,72.0,65.0,XXS,GliderBase,2.75,2017
65,,,A,,A,4.85,20.57,10.54,AirDesign,Eazy 2 Superlight,3.67,17.7,8.06,78.0,60.0,XS,GliderBase,3.13,2017
66,,,A,,A,4.85,22.99,11.18,AirDesign,Eazy 2 Superlight,3.67,19.79,8.52,92.0,72.0,S,GliderBase,3.5,2017
67,,,A,,A,4.85,25.03,11.73,AirDesign,Eazy 2 Superlight,3.67,21.54,8.89,105.0,85.0,M,GliderBase,3.81,2017
68,,,A,,A,4.85,27.82,12.2,AirDesign,Eazy 2 Superlight,3.67,23.94,9.37,125.0,100.0,L,GliderBase,4.23,2017
69,,,D,,D,6.95,20.29,11.85,AirDesign,Hero,5.27,17.15,9.5,85.0,70.0,S,GliderBase,2.93,2017
70,,,D,,D,6.95,21.91,12.32,AirDesign,Hero,5.27,18.52,9.88,95.0,80.0,SM,GliderBase,3.16,2017
71,,,D,,D,6.95,23.42,12.74,AirDesign,Hero,5.27,19.8,10.21,105.0,90.0,M,GliderBase,3.38,2017
72,,,B,,B,5.05,35.27,13.35,AirDesign,Hike,3.74,29.57,10.52,180.0,110.0,35,GliderBase,5.3,2015
73,,,D,,D,6.98,22.57,12.55,AirDesign,Pure 3,5.16,19.12,9.93,95.0,80.0,SM,GliderBase,5.6,2016
74,,,D,,D,6.98,24.1,12.97,AirDesign,Pure 3,5.16,20.42,10.26,105.0,90.0,M,GliderBase,5.9,2016
75,,,D,,D,6.98,26.21,13.52,AirDesign,Pure 3,5.16,22.21,10.7,120.0,100.0,L,GliderBase,6.3,2016
76,,,B,,B,5.14,37.95,13.97,AirDesign,Ride 2,3.78,31.96,10.99,190.0,120.0,38,GliderBase,7.8,2015
77,,,B,,B,5.19,41.0,14.58,AirDesign,Ride 2,3.76,34.56,11.4,220.0,130.0,41,GliderBase,8.5,2015
78,,,B,,B,5.34,39.54,14.53,AirDesign,Ride 3,3.91,33.36,11.42,215.0,115.0,M,GliderBase,7.6,2018
79,,,B,,B,5.34,41.69,14.92,AirDesign,Ride 3,3.91,35.18,11.73,230.0,135.0,L,GliderBase,8.0,2018
80,,,B,,B,5.95,18.77,10.57,AirDesign,Rise 3,4.55,15.91,8.51,65.0,50.0,XXS,GliderBase,3.07,2017
81,,,B,,B,5.95,21.34,11.27,AirDesign,Rise 3,4.55,18.1,9.07,78.0,60.0,XS,GliderBase,3.49,2017
82,,,B,,B,5.95,23.83,11.91,AirDesign,Rise 3,4.55,20.21,9.59,92.0,72.0,S,GliderBase,3.9,2017
83,,,B,,B,5.95,25.91,11.91,AirDesign,Rise 3,4.55,20.21,10.0,105.0,85.0,M,GliderBase,4.24,2017
84,,,B,,B,5.95,28.09,12.93,AirDesign,Rise 3,4.55,23.82,10.41,125.0,100.0,L,GliderBase,4.6,2017
85,,,,,pending,4.85,13.64,8.13,AirDesign,Susi 3,,11.74,,75.0,50.0,14,GliderBase,1.86,2018
86,,,B,,B,4.85,15.95,8.79,AirDesign,Susi 3,,13.72,,75.0,50.0,16 (B),GliderBase,2.05,2018
87,,,C,,C,4.85,15.95,8.79,AirDesign,Susi 3,,13.72,,89.0,75.0,16 (C),GliderBase,2.05,2018
88,,,B,,B,4.85,18.06,9.36,AirDesign,Susi 3,,15.55,,70.0,50.0,18 (B),GliderBase,2.29,2018
89,,,C,,C,4.85,18.06,9.36,AirDesign,Susi 3,,15.55,,97.0,70.0,18 (C),GliderBase,2.29,2018
90,,,B,,B,4.85,20.57,9.99,AirDesign,Susi 3,,17.7,,83.0,60.0,21 (B),GliderBase,2.64,2018
91,,,C,,C,4.85,20.57,9.99,AirDesign,Susi 3,,17.7,,108.0,83.0,21 (C),GliderBase,2.64,2018
92,,,B,,B,4.85,22.99,10.56,AirDesign,Susi 3,,19.79,,122.0,72.0,23 (B),GliderBase,2.96,2018
93,,,,Load,Load,4.26,14.5,7.87,AirDesign,Ufo,3.04,12.14,6.08,70.0,50.0,14,GliderBase,1.6,2016
94,,,,Load,Load,4.26,16.0,8.26,AirDesign,Ufo,3.04,13.38,6.38,70.0,55.0,16,GliderBase,1.7,2016
95,,,C,,C,4.26,18.08,8.78,AirDesign,Ufo,3.04,15.12,6.78,80.0,60.0,18,GliderBase,1.8,2016
96,,,B,,B,4.26,20.61,9.38,AirDesign,Ufo,3.04,17.24,7.24,90.0,75.0,21,GliderBase,2.0,2016
97,,,B,,B,5.34,19.29,10.15,AirDesign,Vita 2,3.9,16.21,7.89,75.0,65.0,XXS,GliderBase,4.5,2016
98,,,B,,B,5.34,21.34,10.68,AirDesign,Vita 2,3.9,17.93,8.3,,,XS,GliderBase,4.3,2016
99,,,B,,B,5.34,24.11,11.35,AirDesign,Vita 2,3.9,20.26,8.82,,,S,GliderBase,5.2,2016
100,,,B,,B,5.34,26.57,11.91,AirDesign,Vita 2,3.9,22.33,9.26,,,M,GliderBase,5.6,2016
101,,,B,,B,5.34,28.77,12.4,AirDesign,Vita 2,3.9,24.18,9.64,,,L,GliderBase,5.9,2016
102,,,B,,B,5.34,19.29,10.15,AirDesign,Vita 2 Superlight,3.9,16.21,7.89,75.0,65.0,XXS,GliderBase,3.1,2016
103,,,B,,B,5.34,21.34,10.68,AirDesign,Vita 2 Superlight,3.9,17.93,8.3,,,XS,GliderBase,3.3,2016
104,,,B,,B,5.34,24.11,11.35,AirDesign,Vita 2 Superlight,3.9,20.26,8.82,,,S,GliderBase,3.6,2016
105,,,B,,B,5.34,26.57,11.91,AirDesign,Vita 2 Superlight,3.9,22.33,9.26,,,M,GliderBase,3.9,2016
106,,,C,,C,6.2,21.2,11.46,AirDesign,Volt 2,4.44,17.95,8.93,75.0,60.0,XS,GliderBase,5.0,2015
107,,,C,,C,6.2,23.07,11.96,AirDesign,Volt 2,4.44,19.53,9.31,85.0,70.0,S,GliderBase,5.3,2015
108,,,C,,C,6.2,24.79,12.4,AirDesign,Volt 2,4.44,21.0,9.65,95.0,80.0,SM,GliderBase,5.6,2015
109,,,C,,C,6.2,26.39,12.79,AirDesign,Volt 2,4.44,22.35,9.96,105.0,85.0,M,GliderBase,5.9,2015
110,,,C,,C,6.2,28.58,13.31,AirDesign,Volt 2,4.44,24.2,10.36,125.0,100.0,L,GliderBase,6.3,2015
111,,,C,,C,6.2,21.2,11.46,AirDesign,Volt 2 Superlight,4.44,17.95,8.93,75.0,60.0,XS,GliderBase,3.6,2015
112,,,C,,C,6.2,23.07,11.96,AirDesign,Volt 2 Superlight,4.44,19.53,9.31,85.0,70.0,S,GliderBase,3.8,2015
113,,,C,,C,6.2,24.79,12.4,AirDesign,Volt 2 Superlight,4.44,21.0,9.65,95.0,80.0,SM,GliderBase,4.0,2015
114,,,C,,C,6.2,26.39,12.79,AirDesign,Volt 2 Superlight,4.44,22.35,9.96,105.0,85.0,M,GliderBase,4.2,2015
115,,,C,,C,6.5,19.96,11.39,AirDesign,Volt 3,,16.88,9.13,75.0,60.0,XS,GliderBase,3.53,2017
116,,,C,,C,6.5,21.77,11.9,AirDesign,Volt 3,,18.41,9.53,85.0,70.0,S,GliderBase,3.85,2017
117,,,C,,C,6.5,23.45,12.35,AirDesign,Volt 3,,19.83,9.9,95.0,80.0,SM,GliderBase,4.15,2017
118,,,C,,C,6.5,25.01,12.75,AirDesign,Volt 3,,21.15,10.22,105.0,90.0,M,GliderBase,4.43,2017
119,,,C,,C,6.5,27.16,13.29,AirDesign,Volt 3,,22.97,10.65,125.0,100.0,L,GliderBase,4.81,2017
120,,,,,,5.85,21.35,11.79,Axis,Comet 3,4.06,,8.75,75.0,55.0,XS,GliderBase,,2017
121,,,B,,B,5.85,23.71,11.87,Axis,Comet 3,4.06,,9.03,90.0,65.0,S,GliderBase,,2017
122,,,B,,B,5.85,25.72,12.27,Axis,Comet 3,4.06,,9.41,105.0,80.0,M,GliderBase,,2017
123,,,B,,B,5.85,27.28,12.64,Axis,Comet 3,4.06,,9.69,120.0,95.0,L,GliderBase,,2017
124,,,,,,5.85,29.21,13.08,Axis,Comet 3,4.06,,10.02,135.0,110.0,XL,GliderBase,,2017
125,,,A,,A,,24.26,,Axis,Compact 3,,,,80.0,55.0,S,GliderBase,4.7,2017
126,,,A,,A,4.85,26.32,,Axis,Compact 3,,,,100.0,75.0,M,GliderBase,4.8,2017
127,,,A,,A,,29.02,,Axis,Compact 3,,,,120.0,90.0,L,GliderBase,4.9,2017
128,,,B,,B,5.49,22.87,11.21,Axis,Pluto 3,3.92,19.75,8.81,85.0,60.0,S,GliderBase,4.1,2015
129,,,B,,B,5.49,25.34,11.8,Axis,Pluto 3,3.92,21.87,9.26,100.0,75.0,SM,GliderBase,4.3,2015
130,,,B,,B,5.49,26.62,12.1,Axis,Pluto 3,3.92,22.98,9.5,115.0,90.0,ML,GliderBase,4.5,2015
131,,,,,,5.49,28.4,12.5,Axis,Pluto 3,3.92,24.52,9.81,130.0,105.0,L,GliderBase,4.8,2015
132,,,,Load,Load,5.4,21.0,10.65,Axis,Proton 2,4.03,17.65,8.43,130.0,65.0,S,GliderBase,,2017
133,,,,,,5.4,24.5,11.5,Axis,Proton 2,4.03,20.6,9.11,140.0,80.0,M,GliderBase,,2017
134,,,,,,5.4,27.0,12.08,Axis,Proton 2,4.03,22.7,9.56,160.0,100.0,L,GliderBase,,2017
135,,,,,,3.57,10.5,6.12,Axis,Pulsar,2.82,9.13,5.07,,,10.5,GliderBase,,2013
136,,,,,,3.57,12.5,6.68,Axis,Pulsar,2.82,10.87,5.54,,,12.5,GliderBase,,2013
137,,,,,,3.57,15.5,7.32,Axis,Pulsar,2.82,13.04,6.06,,,14.5,GliderBase,,2013
138,,,,,,,,,Axis,Sirius 2,,,,,,35,GliderBase,,2013
139,,,B,,B,5.3,40.81,14.7,Axis,Sirius 2,3.7,34.4,11.28,220.0,120.0,40,GliderBase,,2013
140,,,,,,,,,Axis,Sirius 2,,,,,,43,GliderBase,,2013
141,,,,,,6.2,19.24,10.92,Axis,Vega 5,4.51,,8.55,60.0,40.0,XXS,GliderBase,,2015
142,,,,,,6.2,21.51,11.55,Axis,Vega 5,4.51,,9.04,75.0,50.0,XS,GliderBase,,2015
143,,,,,,6.2,23.42,12.05,Axis,Vega 5,4.51,,9.43,90.0,65.0,S,GliderBase,3.6,2015
144,,,C,,C,6.2,25.41,12.55,Axis,Vega 5,4.51,,9.83,105.0,80.0,M,GliderBase,3.7,2015
145,,,C,,C,6.2,27.07,12.96,Axis,Vega 5,4.51,,10.14,120.0,95.0,L,GliderBase,3.8,2015
146,,,,,,6.2,29.1,13.43,Axis,Vega 5,4.51,,10.51,135.0,110.0,XL,GliderBase,,2015
147,,,C,,C,5.8,39.4,15.12,Axis,Vega XCT,4.35,34.07,12.17,220.0,140.0,40,GliderBase,,2017
148,,,,,,5.8,43.0,15.8,Axis,Vega XCT,4.35,37.17,12.71,270.0,170.0,43,GliderBase,,2017
149,,,,,,5.45,36.56,14.22,Axis,Vega XCT,4.09,31.24,11.3,220.0,120.0,40-ZIP,GliderBase,,2017
150,,,,,,5.45,39.95,13.32,Axis,Vega XCT,4.09,34.12,11.8,270.0,145.0,43-ZIP,GliderBase,,2017
151,,,C,,C,,,,Axis,Venus SC,,,,80.0,60.0,XS,GliderBase,4.2,2018
152,,,C,,C,,23.43,,Axis,Venus SC,,,,92.0,72.0,S,GliderBase,4.5,2018
153,,,C,,C,6.6,25.43,,Axis,Venus SC,,,,105.0,85.0,M,GliderBase,4.7,2018
154,,,C,,C,,26.97,,Axis,Venus SC,,,,117.0,95.0,L,GliderBase,4.9,2018
155,,,,,,,28.84,,Axis,Venus SC,,,,130.0,105.0,XL,GliderBase,5.1,2018
156,,,A,,A,4.465,22.09,9.96,Bruce Goldsmith Design,Adam,3.22,18.56,7.73,75.0,55.0,S,GliderBase,4.3,2014
157,,,A,,A,4.465,25.0,10.59,Bruce Goldsmith Design,Adam,3.22,21.0,8.22,95.0,70.0,M,GliderBase,4.9,2014
158,,,A,,A,4.465,27.56,11.12,Bruce Goldsmith Design,Adam,3.22,23.15,8.64,110.0,90.0,ML,GliderBase,5.4,2014
159,,,A,,A,4.465,30.25,11.65,Bruce Goldsmith Design,Adam,3.22,25.41,9.05,130.0,105.0,L,GliderBase,5.9,2014
160,,,B,,B,5.68,22.56,11.24,Bruce Goldsmith Design,Base Lite,4.09,18.72,8.71,80.0,60.0,S,GliderBase,4.1,2014
161,,,B,,B,5.68,25.0,11.83,Bruce Goldsmith Design,Base Lite,4.09,20.74,9.17,95.0,75.0,M,GliderBase,4.4,2014
162,,,B,,B,5.68,26.27,12.13,Bruce Goldsmith Design,Base Lite,4.09,21.79,9.4,105.0,85.0,ML,GliderBase,4.6,2014
163,,,C,,C,6.75,21.2,11.96,Bruce Goldsmith Design,Cure,4.87,17.69,9.27,80.0,60.0,S,GliderBase,4.2,2015
164,,,C,,C,6.75,23.0,12.46,Bruce Goldsmith Design,Cure,4.87,19.2,9.66,95.0,75.0,M,GliderBase,4.6,2015
165,,,C,,C,6.75,24.88,12.96,Bruce Goldsmith Design,Cure,4.87,20.77,10.05,110.0,90.0,ML,GliderBase,5.0,2015
166,,,C,,C,6.75,26.83,13.46,Bruce Goldsmith Design,Cure,4.87,22.39,10.43,125.0,105.0,L,GliderBase,5.4,2015
167,,,,CCC,CCC,7.5,21.0,12.56,Bruce Goldsmith Design,Diva,5.39,17.43,9.7,90.0,70.0,XS,GliderBase,5.0,2017
168,,,,CCC,CCC,7.5,22.71,13.06,Bruce Goldsmith Design,Diva,5.39,18.85,10.08,100.0,80.0,S,GliderBase,5.4,2017
169,,,,CCC,CCC,7.5,24.49,14.11,Bruce Goldsmith Design,Diva,5.39,20.33,10.89,112.0,90.0,M,GliderBase,5.8,2017
170,,,,CCC,CCC,7.5,26.34,15.8,Bruce Goldsmith Design,Diva,5.39,21.86,12.2,125.0,100.0,L,GliderBase,6.2,2017
171,,,B,,B,5.01,21.0,10.26,Bruce Goldsmith Design,Echo,3.602,17.86,8.02,65.0,50.0,XS,GliderBase,3.7,2017
172,,,B,,B,5.01,23.0,10.73,Bruce Goldsmith Design,Echo,3.602,19.56,8.39,80.0,60.0,S,GliderBase,3.9,2017
173,,,B,,B,5.01,24.97,11.18,Bruce Goldsmith Design,Echo,3.602,21.24,8.75,95.0,75.0,M,GliderBase,4.2,2017
174,,,B,,B,5.01,26.83,11.59,Bruce Goldsmith Design,Echo,3.602,22.81,9.07,110.0,90.0,ML,GliderBase,4.4,2017
175,,,B,,B,5.01,28.85,12.02,Bruce Goldsmith Design,Echo,3.602,24.54,9.4,125.0,105.0,L,GliderBase,4.7,2017
176,,,B,,B,5.01,21.0,10.26,Bruce Goldsmith Design,Epic,3.602,17.86,8.02,65.0,50.0,XS,GliderBase,4.2,2017
177,,,B,,B,5.01,23.0,10.73,Bruce Goldsmith Design,Epic,3.602,19.56,8.39,80.0,60.0,S,GliderBase,4.6,2017
178,,,B,,B,5.01,24.97,11.18,Bruce Goldsmith Design,Epic,3.602,21.24,8.75,95.0,75.0,M,GliderBase,4.9,2017
179,,,B,,B,5.01,26.83,11.59,Bruce Goldsmith Design,Epic,3.602,22.81,9.07,110.0,90.0,ML,GliderBase,5.1,2017
180,,,B,,B,5.01,28.85,12.02,Bruce Goldsmith Design,Epic,3.602,24.54,9.4,125.0,105.0,L,GliderBase,5.4,2017
181,,,C,,C,6.75,21.2,11.96,Bruce Goldsmith Design,Lynx,4.87,17.69,9.27,80.0,60.0,S,GliderBase,3.6,2017
182,,,C,,C,6.75,23.0,12.46,Bruce Goldsmith Design,Lynx,4.87,19.2,9.66,95.0,75.0,M,GliderBase,3.9,2017
183,,,C,,C,6.75,24.88,12.96,Bruce Goldsmith Design,Lynx,4.87,20.77,10.05,110.0,90.0,ML,GliderBase,4.2,2017
184,,,,,,6.75,26.83,13.46,Bruce Goldsmith Design,Lynx,4.87,22.39,10.43,123.0,105.0,L,GliderBase,4.5,2017
185,,,B,,B,5.42,21.0,10.67,Bruce Goldsmith Design,Punk,4.07,17.83,8.46,65.0,50.0,XS,GliderBase,4.4,2018
186,,,B,,B,5.42,23.0,11.16,Bruce Goldsmith Design,Punk,4.07,19.53,8.85,80.0,60.0,S,GliderBase,4.7,2018
187,,,B,,B,5.42,25.0,11.64,Bruce Goldsmith Design,Punk,4.07,21.23,9.23,95.0,75.0,M,GliderBase,5.1,2018
188,,,B,,B,5.42,27.0,12.1,Bruce Goldsmith Design,Punk,4.07,22.93,9.59,108.0,88.0,ML,GliderBase,5.4,2018
189,,,B,,B,5.42,29.0,12.54,Bruce Goldsmith Design,Punk,4.07,24.63,9.94,125.0,100.0,L,GliderBase,5.8,2018
190,,,B,,B,5.42,21.0,10.67,Bruce Goldsmith Design,Riot,4.07,17.83,8.46,65.0,50.0,XS,GliderBase,3.7,2018
191,,,B,,B,5.42,23.0,11.16,Bruce Goldsmith Design,Riot,4.07,19.53,8.85,80.0,60.0,S,GliderBase,3.9,2018
192,,,B,,B,5.42,25.0,11.64,Bruce Goldsmith Design,Riot,4.07,21.23,9.23,95.0,75.0,M,GliderBase,4.2,2018
193,,,B,,B,5.42,27.0,12.1,Bruce Goldsmith Design,Riot,4.07,22.93,9.59,108.0,88.0,ML,GliderBase,4.4,2018
194,,,B,,B,5.42,29.0,12.54,Bruce Goldsmith Design,Riot,4.07,24.63,9.94,125.0,100.0,L,GliderBase,4.7,2018
195,,,,,,4.4,14.0,7.94,Bruce Goldsmith Design,Seed Kite,3.2,11.91,6.3,120.0,30.0,14,GliderBase,2.7,
196,,,B,,B,5.3,40.0,15.56,Bruce Goldsmith Design,Tandem Dual,3.88,34.33,11.5,220.0,120.0,Tandem,GliderBase,7.5,2013
197,,,B,,B,5.5,36.8,14.27,Bruce Goldsmith Design,Tandem Dual 2,4.1,31.5,11.32,200.0,100.0,37,GliderBase,7.2,2019
198,,,B,,B,5.5,41.8,15.2,Bruce Goldsmith Design,Tandem Dual 2,4.1,35.7,12.06,220.0,120.0,42,GliderBase,7.9,2019
199,,,B,,B,5.3,40.0,15.56,Bruce Goldsmith Design,Tandem Dual Lite,3.88,34.33,11.5,220.0,120.0,Tandem,GliderBase,6.35,2014
200,,,,,,5.4,30.0,12.73,Dudek,Cabrio,4.0,25.51,10.12,300.0,110.0,30,GliderBase,6.45,2011
201,,,,,,5.4,34.0,13.55,Dudek,Cabrio,4.0,28.91,10.78,350.0,130.0,34,GliderBase,7.07,2011
202,,,,,,5.4,38.0,14.32,Dudek,Cabrio,4.0,32.44,11.39,400.0,160.0,38,GliderBase,7.57,2011
203,,,,,,5.4,42.0,15.06,Dudek,Cabrio,4.0,35.71,11.98,400.0,210.0,42,GliderBase,8.17,2011
204,,,,,pending,6.95,23.7,12.83,Dudek,Coden,5.25,20.22,10.31,105.0,85.0,23,GliderBase,6.1,2013
205,,,D,,D,6.95,25.5,13.31,Dudek,Coden,5.25,21.75,10.69,120.0,100.0,25.5,GliderBase,6.5,2013
206,,,,CCC,CCC,7.5,20.5,12.4,Dudek,Coden Pro,5.67,17.3,9.9,95.0,80.0,20,GliderBase,5.8,2016
207,,,,CCC,CCC,7.5,23.5,13.27,Dudek,Coden Pro,5.67,19.83,10.6,115.0,95.0,23,GliderBase,6.3,2016
